_step,val_accuracy,val_examples_per,generator_model,reward,int_reward_margin,cr_coef
0,0.45,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
1,0.482,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
2,0.478,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
3,0.442,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
4,0.478,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
5,0.502,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
6,0.51,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
7,0.548,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
8,0.546,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
9,0.55,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
10,0.544,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
11,0.598,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
12,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
13,0.598,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
14,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
15,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
16,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
17,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
18,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
19,0.628,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0
0,0.416,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
1,0.42,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
2,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
3,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
4,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
5,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
6,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
7,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
8,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
9,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
10,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
11,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
12,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
13,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
14,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
15,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
16,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
17,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
18,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
19,0.604,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.2
0,0.492,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
1,0.278,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
2,0.49,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
3,0.578,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
4,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
5,0.566,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
6,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
7,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
8,0.62,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
9,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
10,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
11,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
12,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
13,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
14,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
15,0.654,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
16,0.646,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
17,0.646,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
18,0.648,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
19,0.638,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.4
0,0.382,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
1,0.436,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
2,0.484,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
3,0.504,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
4,0.584,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
5,0.566,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
6,0.554,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
7,0.552,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
8,0.578,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
9,0.578,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
10,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
11,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
12,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
13,0.58,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
14,0.582,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
15,0.582,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
16,0.582,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
17,0.582,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
18,0.582,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
19,0.592,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.6
0,0.492,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
1,0.446,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
2,0.438,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
3,0.374,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
4,0.5,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
5,0.514,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
6,0.548,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
7,0.508,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
8,0.472,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
9,0.494,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
10,0.598,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
11,0.598,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
12,0.598,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
13,0.594,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
14,0.46,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
15,0.456,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
16,0.55,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
17,0.448,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
18,0.526,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
19,0.53,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,0.8
0,0.336,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
1,0.372,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
2,0.358,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
3,0.404,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
4,0.588,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
5,0.4,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
6,0.47,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
7,0.408,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
8,0.464,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
9,0.38,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
10,0.348,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
11,0.224,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
12,0.244,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
13,0.33,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
14,0.272,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
15,0.308,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
16,0.246,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
17,0.32,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
18,0.302,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
19,0.37,2,Qwen/Qwen2.5-1.5B-Instruct,judge_exact,True,1
